序号,部位,分区序号,相机姿态,是否镜像,区域,参数特征名称,程度形容词,特征ID,备注
一,鼻部  (绿色加粗:鼻部重复)   (深红加粗:眼部重复),1.鼻梁,138.61906_-27.97805_247.00429_-0.12230125_-0.665865_0.0,0,292-465-60-51,1.鼻梁歪斜,歪/不歪斜,p1_14_007,
,,,,,,5.鼻梁形态,驼/塌,p2_004_005,
,,,,,,11.鼻梁起结,有/无,p2_004_019,
,,,,,,12.鼻梁饱满度,单薄,p2_004_021,
,,,,,,13.鼻背纹,有/无,p2_004_023,
,,,,,,24.鼻背宽度,宽/窄,p2_004_039,
,,,,,,25.鼻梁宽度,宽/窄,p2_004_042,系统需要添加此参数，余婷已添加
,,,,,,17.鹰钩鼻,有/无,p2_004_029,
,,,,,,10.鼻子长短,长/短,p2_004_017,
,,2.鼻头,,0,281.3-516.8-63.8-64.7,2.鼻头歪斜,歪/不歪斜,p1_14_008,
,,,,,,6.鼻头高度,高/低,p2_004_007,
,,,,,,8.鼻基底高度,高/低,p2_004_013,
,,,,,,9.鼻唇角,大/小,p2_004_015,
,,,,,,14.鼻头饱满度,单薄/肥大,p2_004_025,
,,,,,,17.鹰钩鼻,有/无,p2_004_029,
,,,,,,23.鼻翼缘完整度,缺失,p2_004_038,
,,,,,,10.鼻子长短,长/短,p2_004_017,
,,3.鼻根,,0,299-401-53.9-60.4,3.鼻根高度,高/低,p2_004_001,
,,,,,,4.鼻根位置,上/下,p2_004_003,
,,,,,,10.鼻子长短,长/短,p2_004_017,
,,,,,,16.鼻根纹,有/无,p2_004_028,
,,,,,,26.鼻根宽度,宽/窄,p2_004_041,系统需要添加此参数，余婷已添加
,,,,,,17.鹰钩鼻,有/无,p2_004_029,
,,4.鼻翼,,1047.35-1097.5-44.1-47.9,342-525.9-48.5-60.4,7.鼻翼宽度,宽/窄,p2_004_009,
,,,,,,8.鼻基底高度,高/低,p2_004_013,
,,,,,,15.法令纹,有/无,p2_004_027,
,,,,,,20.鼻翼厚度,肥厚,p2_004_035,
,,,,,,21.鼻翼创伤,有/无,p2_004_036,
,,,,,,22.鼻翼对称性,对称/不对称,p2_004_037,
,,,,,,23.鼻翼缘完整度,缺失,p2_004_038,
二,眼部  (深红加粗:眼部重复)  (玫红加粗:颞部重复),1.眼球,8.156077_38.629467_295.0501_0.10418346_-0.02247666_0.0,1,385-412-79-34,1.眼睛歪斜,歪/不歪斜,p1_14_004,
,,,,,,3.眼裂长短,长/短,p2_003_003,
,,,,,,4.眼仰角,下垂/上扬,p2_003_005,
,,,,,,5.三角眼,有/无,p2_003_007,
,,,,,,6.眼睛大小,大/小,p2_003_009,
,,,,,,7.眼凸,有/无,p2_003_011,
,,,,,,23.重睑对称性,对称/不对称,p2_003_028,
,,,,,,26.眼大小对称性,对称/不对称,p2_003_032,
,,,,,,27.三白眼,有/无,p2_003_038,
,,2.眼内眦,,1112.9-993.8-24.55-21.45,359.8-419.4-21.2-45.6,2.眼间距,宽/窄,p2_003_001,
,,,,,,8.内眼角饱满度,凹陷,p2_003_013,
,,,,,,27.内眦赘皮,有/无,p2_003_033,
,,3.眼外眦,,1239.95-990.25-29.05-15.3,462.3-411.3-57.3-44.3,9.外眼角饱满度,凹陷,p2_003_014,
,,,,,,15.眼角纹,有/无,p2_003_020,
,,,,,,28.外眦过短,有/无,p2_003_034,
,,4.上眼睑,,1097-912.5-230-89,352.9-381.9-171.2-50.2,10.上睑饱满度,凹陷,p2_003_015,
,,,,,,11.上睑松弛,有/无,p2_003_016,
,,,,,,17.重睑宽度,宽/窄,p2_003_022,
,,,,,,18.眉眼间距,宽/窄,p2_003_023,
,,,,,,21.内翻倒睫,有/无,p2_003_026,
,,,,,,24.上睑下垂度,有/无,p2_003_029,
,,,,,,25.上睑皮肤厚度,厚,p2_003_030,
,,,,,,29.上睑提肌无力,有/无,p2_003_035,
,,,,,,22.一单一双,有/无,p2_003_027,
,,5.下眼睑,,1131.65-996.85-127.55-42.75,381-441.4-114.5-54.7,12.眼底凹陷,有/无,p2_003_017,
,,,,,,13.泪沟,有/无,p2_003_018,
,,,,,,14.眼袋,有/无,p2_003_019,
,,,,,,16.卧蚕宽度,宽/窄,p2_003_021,
,,,,,,19.黑眼圈,有/无,p2_003_024,
,,,,,,20.下睑皮肤松弛,有/无,p2_003_025,
,,,,,,21.内翻倒睫,有/无,p2_003_026,
三,脸部  (绿色加粗:鼻部重复)   (紫色加粗:额部重复),脸全局,,1,,1.脸长宽,长/宽,,p1_04_001
,,,,,,2.面部细纹,有/无,,p1_04_003
,,,,,,4.立体感,强/平,,p1_10_000
,,,,,,5.脸型,9个,,p1_12_001
,,,,,,6.面型,凸/凹,,p1_16_000
,,,,,,下庭长度,长/短,,p1_07_005
四,额部  (深红加粗:眼部重复)  (紫色加粗:额部重复)  ,1.额头,5.947314_65.80435_278.52286_0.017858969_-0.014021849_0.0,0,236-164.1-236.6-191.9,1.额部凸起度,前凸/后背,p2_001_001,
,,,,,,2.额部宽窄,宽/窄,p2_001_003,
,,,,,,3.额部长短,长/短,p2_001_005,
,,,,,,4.额部弧度,平/圆,p2_001_007,
,,,,,,5.额部饱满度,凹陷,p2_001_009,
,,,,,,6.抬头纹,有/无,p2_001_011,
,,,,,,6.天仓饱满度,凹陷,p2_002_008,
,,2.印堂,,0,286-359-62-41,7.印堂宽窄,宽/窄,p3_005_007,
,,,,,,8.印堂饱满度,凹陷,p3_005_009,
